M001,Avocado Juice,Juice & Drink
M002,Apple Juice,Juice & Drink
M003,Pineapple Juice,Juice & Drink
M004,Strawberry Juice,Juice & Drink
M005,Orange Juice,Juice & Drink
M006,Lemonade,Juice & Drink
M007,Banana Juice,Juice & Drink
M008,Yogurt ,Juice & Drink
M009,Shark,Juice & Drink
M010,Bottled Juices,Juice & Drink
M011,iced water,Juice & Drink
M012,Burn,Juice & Drink
M013,Coca Cola,Juice & Drink
M014,Kyay Oh Se Chat,Main Dish
M015,Fried Noodles,Main Dish
M016,Kyar San Kyaw,Main Dish
M017,Fried Flat Noodle ,Main Dish
M018,Hta Min Paung,Main Dish
M019,Chinese style fried rice,Main Dish
M020,Pishu Fried Rice,Main Dish
M021,TonYan Fried Rice,Main Dish
M022,American Fried Rice,Main Dish
M023,Nga Pi Friend Rice,Main Dish
M024,Thai Freid Rice,Main Dish
M025,Celery Fried Rice,Main Dish
M026,Kong Baung Rice,Main Dish
M027,Spicy Sour Rice,Main Dish
M028,Sweet Sour Rice,Main Dish
M029,Sweet Sour Fries,Main Dish
M030,Kong Baung Kyee Kyaw,Main Dish
M031,Tauk Tauk Fries,Main Dish
M032,Spicy Sour,Main Dish
M033,Kyut Kyut Kyaw,Main Dish
M034,Fried Chicken Slices,Main Dish
M035,Fried Pock Slices,Main Dish
M036,Wat Sa Tuu,Main Dish
M037,Fish Head Soup,Main Dish
M038,Ton Yum Soup,Main Dish
M039,Thai Soup,Main Dish
M040,Kyan ma Sine Soup,Main Dish
M041,12 myoe Soup,Main Dish
M042,Egg Sar Lar,Main Dish
M043,Fried Water Spinach/ Spicy and normal,Main Dish
M044,Mushroom and water Spinach,Main Dish
M045,Fried Mustard/  oyster sauce,Main Dish
M046,Fried Chinese broccoli/ oyster sauce,Main Dish
M047,Gor Ya Khar Nyunt,Main Dish
M048,Vegetable fried,Main Dish
M049,A Sein Kyaw,Main Dish
M050,Broccoli Fried curry,Main Dish
M051,Fried Corn Curry,Main Dish
M052,Kyauk Pwint Salad,Main Dish
M053,100 year egg Salad,Main Dish
M054,Pock Salad,Main Dish
M055,Chicken salad,Main Dish
M056,Water Spinach Salad,Main Dish
M057,pea sprouts salad,Main Dish
M058,Vegetable salad,Main Dish
M059,Fish Cho Chin,Main Dish
M060,Fish Spicy sour,Main Dish
M061,Omelette,Main Dish
M062,Potato Slice Fries,Main Dish
M063,French Fries,Main Dish
M064,Si Lon Tea,Breakfast Dish
M065,Tea,Breakfast Dish
M066,Shal Coffee,Breakfast Dish
M067,Coffee Mix plain,Breakfast Dish
M068,Nes Plain,Breakfast Dish
M069,Cereal,Breakfast Dish
M070,Lemon Tea,Breakfast Dish
M071,Ovaltine,Breakfast Dish
M072,Milo,Breakfast Dish
M073,real Milk,Breakfast Dish
M074,Mile And Egg,Breakfast Dish
M075,Nes All,Breakfast Dish
M076,Ei Kyar kway,Breakfast Dish
M077,Pal Ei Kyar,Breakfast Dish
M078,Sa Mu Sar,Breakfast Dish
M079,Tha Gyar Pa Lar Tar,Breakfast Dish
M080,Pal Pa lar Tar,Breakfast Dish
M081,Kyat Oz Pa lar Tar,Breakfast Dish
M082,Kee Mar Pa Lar Tar,Breakfast Dish
M083,Pa Lar Tar Noh Sann,Breakfast Dish
M084,Nan Pyar,Breakfast Dish
M085,Pal Nan Pyar,Breakfast Dish
M086,Nan Pyar butter,Breakfast Dish
M087,Nan Pyar Oak Thote,Breakfast Dish
M088,Ma Line Nan Pyar,Breakfast Dish
M089,"Baozi(Chicken , Pork)",Breakfast Dish
M090,Dimsan,Breakfast Dish
M091,Fish Balls Fries,Breakfast Dish
M092,Mont Hinn Khar,Breakfast Dish
M093,Mont Hinn Khar (with fries),Breakfast Dish
M094,Mont Hinn Khar (Oh Bal Oz),Breakfast Dish
M095,Mont Hinn Khar (Ngarr Phal),Breakfast Dish
M096,Ohm Noh Khout Swal,Breakfast Dish
M097,Shaw Taung Khout Swal,Breakfast Dish
M098,Shan Noodles,Breakfast Dish
M099,San See Noodles,Breakfast Dish
M100,Myee Shay,Breakfast Dish
M101,Se Chat Noodles,Breakfast Dish
M102,Kyar San Se Chat,Breakfast Dish
M103,Nan Gyi Thote,Breakfast Dish
M104,Nan Pyar Thote,Breakfast Dish
M105,Khout Swal Thote,Breakfast Dish
M106,Kyar San Thote,Breakfast Dish
M107,Mont Phat Thote,Breakfast Dish
M108,Lat Phat Thote,Breakfast Dish
M109,ginger Salad,Breakfast Dish
M110,Tomato Salad,Breakfast Dish
M111,Myinn Khwar Ywet Thote,Breakfast Dish
M112,Pal Chan Thote,Breakfast Dish
M113,Shout Thee Thote,Breakfast Dish
M114,Myanmar Fried Rice,Breakfast Dish
M115,Hta Min Se Sann,Breakfast Dish
M116,Hta Minn Thote,Breakfast Dish
M117,Lat Phat Hta Minn,Breakfast Dish
M118,Hta Min Phyu\,Breakfast Dish
M119,Chicken Curry/ fried,Breakfast Dish
M120,Pork Curry,Breakfast Dish
M121,fish Curry,Breakfast Dish
M122,Nga Kyaw Nhat,Breakfast Dish
M123,Kngar Phal Thote,Breakfast Dish
M124,Bal oz Hinn,Breakfast Dish
